V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,Fracaso
0.019327,1.300274,0.214971,0.268569,0.030916,1.679434,1.28349,0.011352,0.930888,0.070866,0.727269,0.151412,-0.443295,46,0
0.001419,6.738844,0.589077,0.182663,0.016434,1.222797,6.738844,0.551556,0.691724,0.004103,0.654203,0.490393,-0.173071,74,0
0.013361,1.384233,0.207724,0.327959,0.033259,1.935601,0.744111,0.024608,0.748345,0.03073,0.565228,0.110351,0.009204,21,0
0.044404,1.29594,0.183214,0.160737,0.085968,1.225103,1.150558,0.178698,0.802307,0.219594,0.797791,0.023559,-0.203175,71,0
0.200386,3.787302,0.58415,0.749979,0.299708,1.918374,2.952678,0.03718,0.793725,0.26603,0.246755,0.345565,0.607353,35,0
0.128346,1.457748,0.204597,0.242548,0.166133,1.07674,1.139977,0.164851,0.65156,0.330629,0.611814,0.057521,0.195301,26,0
0.058004,1.398499,0.147227,0.259978,0.075702,1.301327,0.886894,0.351187,0.51668,0.207635,0.72064,0.071589,0.143012,28,0
0.002615,1.628797,0.226819,0.009526,0.01733,0.551079,1.46127,0.296713,0.587538,0.007632,0.657432,0.249699,-0.007721,58,0
0.019898,1.172326,0.049263,0.09523,0.036816,0.498613,0.358783,0.288203,0.335132,0.046717,0.574073,0.014011,-0.05437,47,0
0.045848,1.347595,0.152197,0.188624,0.066394,0.670695,1.237575,0.175,0.590054,0.118427,0.612857,0.000743,0.105975,71,0
0.006147,1.14493,0.055186,0.51669,0.009888,0.791144,1.144019,0.09632,0.435963,0.011756,0.477097,0.155391,0.14817,62,0
0.003094,4.957394,0.609349,0.553306,0.005902,0.902474,4.956715,0.284512,0.763327,0.00551,0.438489,0.327662,-0.184238,72,0
0.040435,1.967207,0.392779,0.343004,0.082972,1.48738,0.979583,0.187124,0.798875,0.099403,0.593219,0.133692,0.285758,62,0
0.143779,2.026061,0.334475,0.539715,0.159131,1.047961,1.926683,0.058976,0.660456,0.233771,0.384956,0.113528,0.27805,61,0
0.002057,0.907055,-0.071302,-0.013007,0.02224,0.979854,0.751952,0.094784,0.695841,0.014898,0.861927,0.12707,-0.006438,17,0
0.010309,0.940387,-0.028393,0.311935,0.029094,0.961697,0.43241,0.152084,0.447898,0.027739,0.628376,0.000591,0.014005,59,0
0.024535,2.419985,0.384452,0.246534,0.040247,1.115666,2.284642,0.434021,0.655196,0.083102,0.704764,0.097431,-0.044682,78,0
0.166648,1.499562,0.276321,0.313673,0.22512,1.263049,1.433248,0.061223,0.829447,0.43212,0.614349,0.278615,-0.081175,96,0
0.103462,1.42527,0.129665,0.576005,0.077036,0.489498,1.410815,0.064298,0.434567,0.164017,0.369199,0.087944,0.244636,72,0
0.012052,2.046009,0.300549,0.25477,0.020586,0.527226,2.00291,0.434709,0.587878,0.043359,0.722038,0.42781,0.067829,72,0
0.015802,1.590742,0.280754,0.176536,0.032266,1.192271,1.590742,0.222477,0.756009,0.052279,0.697733,0.128586,-0.521893,62,0
0.070567,0.520073,-0.186207,-0.377458,0.092568,0.333323,0.520073,0.191824,0.201784,0.167944,0.579815,0.014439,0.459931,62,0
0.052966,1.574727,0.154447,-0.054559,0.077421,0.010364,0.306976,0.65039,0.423179,0.654881,0.919121,0.052879,-0.09498,1,0
0.026134,0.761637,-0.055258,-0.064734,0.054805,0.21154,0.61342,0.333269,0.176564,0.060091,0.565091,0.038149,0.067937,38,0
0.008482,3.596745,0.350004,0.585994,0.018484,0.638832,3.571742,0.097511,0.484789,0.011049,0.232297,0.19245,0.134308,62,0
0.054391,1.04157,0.031081,0.184876,0.082532,1.08196,0.953694,0.004368,0.778762,0.21936,0.752049,0.000501,0.249938,62,0
0.081167,6.318165,0.380499,0.000618,0.084534,0.775199,6.086709,0.672751,0.452046,0.317427,0.744298,0.073253,0.199235,72,0
0.027438,1.307464,0.216735,0.051924,0.054299,0.785847,0.529849,0.198622,0.921649,0.284435,0.903535,0.072199,-0.719394,73,0
0.112197,2.791964,0.416951,0.692379,0.122386,0.307237,2.785481,0.061526,0.649629,0.158966,0.294204,0.404227,0.184307,72,0
0.068468,5.236487,0.581926,0.489356,0.110832,1.242445,5.23531,0.152555,0.719287,0.096422,0.289916,0.236631,0.550692,74,0
0.137871,1.510762,0.209618,-0.019928,0.024075,0.771863,0.818479,0.279197,0.620019,0.444171,0.689599,0.196993,0.54533,25,0
0.036867,1.236934,0.173979,0.110244,0.089098,3.251334,0.869388,0.056175,0.908272,0.175946,0.790468,0.094667,-0.381568,46,0
0.008044,1.425238,0.150664,0.001064,0.012094,0.891075,1.390038,0.436511,0.504968,0.038455,0.790815,0.24013,0.353144,58,0
0.012239,1.136939,0.106513,0.090624,0.037902,1.723192,1.132042,0.074742,0.884324,0.083003,0.852553,0.003179,-0.511058,82,0
0.003667,5.786719,0.450043,-0.010189,0.007412,0.531875,2.434325,0.415578,0.544062,0.007477,0.509597,0.187029,-0.016183,25,0
0.006919,2.452893,0.454798,-0.003044,0.024058,1.597848,2.452893,0.035422,0.767827,0.010619,0.348451,0.390887,0.754058,73,0
0.004303,1.022801,0.01654,0.020164,0.031605,0.861394,0.477503,0.194015,0.741956,0.053405,0.919432,0.024297,0.089783,25,0
0.065926,0.008895,-0.439512,0.143183,0.1074,0.143653,0.008895,0.411358,0.003945,0.454086,0.854815,0.003945,0.276246,68,0
0.000123,0.738009,-0.141554,0.000131,0.002964,0.047392,0.727392,0.327647,0.398747,0.00093,0.867948,0.168547,-0.255138,17,0
0.001035,4.28839,0.332743,0.021844,0.001924,0.464076,4.28839,0.571581,0.43393,0.003164,0.672768,0.323056,-0.010736,62,0
0.251077,0.146119,-0.437969,0.168251,0.255097,0.366017,0.146119,0.259947,0.074947,1.105399,0.772863,0.000086,0.263749,38,0
0.003538,2.080322,0.165475,0.106803,0.02039,0.710744,1.192194,0.516639,0.318646,0.010715,0.669811,0.011412,0.178584,62,0
0.008332,0.719603,-0.268969,0.014398,0.029874,1.087595,0.538212,0.021158,0.690276,0.425173,0.980404,0.002567,-0.614664,29,0
0.016545,2.68855,0.607279,0.410509,0.023248,0.338323,2.68855,0.225607,0.966925,0.039891,0.585252,0.730849,-0.365085,72,0
-0.1629,3.611639,0.617679,0.305768,-0.233066,0.117481,3.449802,0.258291,0.854188,-0.322447,0.494801,0.49674,-0.507011,11,1
-0.259872,5.867569,0.131565,0.866332,-0.259813,0.29818,5.560198,0.274,0.158594,-0.267092,0.027029,0.138434,-8.360897,72,1
0.211708,1.483071,0.250304,0.439191,0.185961,1.459038,1.469127,0.000246,0.768457,0.439592,0.518399,0.076444,0.452197,58,1
0.006037,1.104218,0.028494,0.128545,0.009048,0.541125,1.049985,0.464538,0.301898,0.023036,0.737943,0.022758,-0.094559,62,1
-0.328506,1.28034,0.144269,-0.786552,-0.465636,0.229229,1.247739,0.712397,0.658892,1.447042,1.227019,0.015367,-0.066906,26,1
-0.035947,1.432384,0.29173,0.114632,-0.028651,0.16025,1.261636,0.079777,0.966432,-0.146411,0.754479,0.011391,-0.104385,62,1
-0.503734,0.583714,-0.611568,-1.214576,-0.435557,0.305022,0.56883,0.518033,0.857537,0.510298,1.987137,0.008507,-0.116695,71,1
0.006458,1.176595,0.101052,0.123493,0.026971,0.662272,0.474204,0.135603,0.673274,0.022104,0.707825,0.022741,-0.078641,28,1
-0.753604,0.607564,-0.209143,-1.387772,-0.732764,0.224357,0.113119,0.976636,0.323793,1.478895,1.509572,0.008338,-0.186734,29,1
0.01161,0.788157,-0.17185,0.113567,0.025929,0.693569,0.611523,0.034009,0.639363,0.075013,0.845222,0.186481,0.096719,25,0
0.004069,1.252272,0.132302,0.191098,0.029597,0.794526,0.564426,0.26079,0.656747,0.018947,0.785235,0.007864,-0.009405,27,0
0.024731,1.085905,0.047015,0.128769,0.066492,0.801994,0.493761,0.214882,0.594305,0.103987,0.762172,0.017515,-0.091584,22,0
0.177385,1.453341,0.279922,0.331545,0.237401,1.671569,1.075159,0.029791,0.897387,0.502872,0.647256,0.114073,-0.156318,43,0
0.110751,1.897951,0.421095,0.310361,0.142342,0.685277,1.359954,0.16339,0.890047,0.301232,0.632341,0.004818,-0.172602,26,0
0.026348,0.751647,-0.147416,0.209323,0.058574,0.678587,0.319931,0.173773,0.44616,0.113251,0.767349,0.001571,-0.06546,10,0
0.008356,0.900681,-0.066378,0.10054,0.044115,1.048461,0.536391,0.18168,0.601953,0.055714,0.850011,0.007965,-0.031775,28,0
0.020329,1.275096,0.176572,0.284764,0.059202,0.784738,0.490125,0.016468,0.818428,0.059499,0.658324,0.004751,-0.008364,28,0
0.007817,1.672676,0.312105,0.081789,0.065637,0.988819,0.918011,0.42968,0.77608,0.073502,0.893655,0.025054,0.038759,11,0
0.007584,1.333858,0.128136,0.229608,0.048845,0.741312,0.507811,0.379719,0.51194,0.032069,0.763523,0.011253,0.166557,13,0
0.030605,0.974772,-0.016528,0.110498,0.065032,1.859189,0.573729,0.189528,0.638623,0.197045,0.844679,0.002541,0.230788,25,0
0.014628,1.281747,0.097177,0.401872,0.05295,0.610522,0.51819,0.238985,0.442087,0.035155,0.583894,0.006788,0.046066,32,0
0.07859,2.335898,0.224811,0.384122,0.132287,0.57119,1.635308,0.43648,0.393096,0.198844,0.604765,0.039212,-0.040428,18,0
0.071473,1.445525,0.256523,0.242835,0.152728,1.375181,0.748553,0.117347,0.8323,0.232906,0.693123,0.048332,0.343569,46,0
0.006741,2.844509,0.353805,0.103084,0.015211,0.529489,0.514067,0.409341,0.545621,0.016901,0.601157,0.015258,0.019723,10,0
0.005187,1.953383,0.287672,-0.007522,0.032286,0.585011,0.835909,0.322898,0.58941,0.013819,0.624636,0.032029,0.045327,25,0
0.0021,0.98516,-0.006387,0.091545,0.039912,0.649034,0.717655,0.32434,0.423998,0.00856,0.754725,0.005712,0.045542,29,0
0.010134,1.925593,0.354144,0.324915,0.023529,1.241743,1.773743,0.04816,0.736757,0.017804,0.430773,0.031874,-0.014691,28,0
0.017904,0.902363,-0.075653,0.122933,0.063424,1.301311,0.590918,0.092737,0.699189,0.135208,0.867579,0.047088,0.026619,28,0
0.044135,1.365241,0.220064,0.13815,0.09255,0.727888,1.228835,0.203874,0.82258,0.227958,0.80639,0.040118,-0.415172,43,0
0.142898,1.513859,0.318702,0.364162,0.212383,1.247088,1.204763,0.009199,0.938916,0.385598,0.629412,0.059731,-0.457282,46,0
0.009608,0.917842,-0.031463,0.306019,0.042164,1.199168,0.619638,0.290381,0.351499,0.029412,0.673343,0.047116,0.061087,46,0
0.022779,1.074537,0.057329,0.114291,0.050822,0.9657,0.883324,0.037671,0.826465,0.117909,0.806808,0.064487,-0.314036,43,0
0.020464,1.045225,0.031333,0.143345,0.05923,1.013761,0.697036,0.113163,0.724174,0.105487,0.806004,0.017178,-0.079255,27,0
0.01189,1.177008,0.081261,0.186493,0.043354,0.680077,0.579657,0.31268,0.540344,0.052093,0.771763,0.002737,0.085373,22,0
0.005638,1.026271,0.015754,0.161642,0.058075,0.909549,0.502948,0.218439,0.615429,0.030998,0.818114,0.016341,0.113873,13,0
0.067124,1.708254,0.242201,0.184567,0.103375,1.286493,1.639542,0.321402,0.584169,0.199401,0.66337,0.006353,0.111095,62,0
0.051299,0.58309,-0.31234,0.124581,0.08012,0.995113,0.43422,0.096175,0.436839,0.331716,0.845354,0.019294,0.037654,86,0
0.041499,2.158502,0.131068,0.092672,0.062824,0.709183,1.845674,0.688347,0.244205,0.209046,0.801483,0.041749,0.063748,96,0
0.004608,0.808327,-0.128257,0.078856,0.033706,0.912849,0.465794,0.095771,0.540889,0.019601,0.764917,0.020143,-0.370126,46,0
0.02446,1.775728,0.296899,0.386599,0.041643,1.369234,1.424199,0.021623,0.679636,0.041064,0.404359,0.004718,0.284784,24,0
0.005459,4.130734,0.72862,0.034511,0.017022,0.671384,1.420441,0.723885,0.961351,0.12583,0.956616,0.068004,0.160748,13,0
0.024669,1.575371,0.213952,0.0936,0.053207,1.038553,1.570383,0.306691,0.585802,0.076741,0.678541,0.082218,-0.079342,33,0
0.198211,1.126727,0.089972,0.141509,0.255882,1.454413,1.095273,0.0877,0.799943,0.979643,0.79767,0.08538,0.085946,62,0
0.010787,1.585505,0.231041,0.141519,0.024531,0.805253,0.94347,0.251165,0.625642,0.030453,0.645766,0.049256,0.365294,71,0
0.049355,1.208781,0.057088,0.109846,0.080154,0.712297,1.153562,0.175923,0.330523,0.089632,0.449358,0.245027,0.540508,59,0
0.044318,0.920135,-0.062391,0.12924,0.087039,1.809585,0.313063,0.076253,0.718811,0.310908,0.857455,0.010227,0.03038,47,0
0.034935,1.173661,0.125165,0.096258,0.073817,1.640894,1.15579,0.081895,0.845909,0.177013,0.802639,0.003072,-0.211015,62,0
0.009804,1.012042,0.007798,0.123822,0.049812,1.228824,0.630593,0.196792,0.655346,0.062981,0.84434,0.008383,0.060425,22,0
0.038748,0.889014,-0.052801,0.098707,0.063854,0.679284,0.684258,0.265737,0.422944,0.149885,0.741482,0.012948,-0.056734,16,0
0.005699,1.483737,0.178008,0.197484,0.035065,1.291613,1.012529,0.381179,0.545994,0.022721,0.749165,0.000152,-0.491856,22,0
0.06103,1.06057,0.047287,0.098454,0.154119,1.809426,0.131086,0.110338,0.827991,0.560122,0.891041,0.008194,-0.348012,31,0
0.02968,0.944691,-0.019501,0.194788,0.070992,0.70089,0.501046,0.394744,0.333078,0.117462,0.747322,0.010298,0.136716,10,0
0.032169,1.311126,0.231083,0.237619,0.038627,0.75852,0.379684,0.019108,0.973815,0.135073,0.76184,0.034786,0.120239,43,0
0.000048,7.275247,0.508896,0.447192,0.003179,0.311838,4.691824,0.240973,0.589991,0.00007,0.322069,0.047475,-1.097889,72,0
0.046333,1.045453,0.029779,0.260477,0.071056,1.0997,0.514252,0.066319,0.684932,0.166348,0.721472,0.035694,0.067085,28,0
0.015577,1.213667,0.124778,0.111127,0.054108,0.730161,0.49982,0.258505,0.70876,0.098893,0.842488,0.003762,-0.266325,1,0
0.102512,1.839313,0.378887,0.377589,0.138797,2.445326,0.876538,0.077478,0.830311,0.217603,0.528903,0.15379,0.259388,21,0
0.030525,1.332569,0.208169,0.134113,0.054322,0.649506,1.145879,0.212325,0.83411,0.188738,0.838266,0.055323,-0.265123,71,0
0.237046,3.235981,0.583556,0.720003,0.332612,2.082907,2.367587,0.016797,0.844541,0.328219,0.277781,0.305136,0.612566,35,0
0.084947,1.435263,0.210984,0.312279,0.110008,0.810641,1.219331,0.083528,0.695711,0.196753,0.568255,0.085175,0.083406,26,0
0.18832,1.274636,0.083522,0.333573,0.216946,0.98954,0.784322,0.351603,0.387639,0.546992,0.655721,0.045982,0.190221,28,0
0.016923,1.307674,0.124842,0.02655,0.023749,0.786312,0.790527,0.118904,0.530603,0.035602,0.524665,0.021467,0.048707,58,0
0.038674,1.860711,0.227577,0.122993,0.067768,0.63434,0.81874,0.294119,0.491982,0.087602,0.558524,0.037638,-0.237378,47,0
0.06058,1.432712,0.183576,0.235133,0.017211,0.628513,1.31343,0.158633,0.607822,0.145234,0.582879,0.006295,0.263749,71,0
0.018257,1.377773,0.20118,0.296183,0.067041,1.736342,0.716299,0.119599,0.733722,0.052485,0.652141,0.154242,0.463356,62,0
0.002896,1.069125,0.046256,0.092417,0.036995,1.105943,0.699389,0.099675,0.715418,0.01253,0.768837,0.010428,-0.001288,17,0
0.111779,2.734048,0.349774,0.467663,0.076567,0.272043,1.586248,0.300979,0.551483,0.224767,0.502688,0.094285,0.301892,72,0
0.013166,2.856457,0.376255,0.249829,0.170532,0.573037,1.582501,0.528951,0.578928,0.049056,0.731625,0.177087,0.056786,72,0
0.048882,1.252376,0.031485,0.038677,0.084993,0.283447,0.873049,0.285329,0.156241,0.082862,0.410085,0.000897,0.251783,38,0
0.064983,1.093103,0.065501,0.221155,0.098109,1.017243,0.958159,0.022437,0.769029,0.237132,0.725964,0.000716,0.04579,62,0
0.134732,1.31758,0.212152,0.233504,0.190052,2.351768,0.647457,0.019096,0.880179,0.430618,0.687123,0.065781,1.401723,73,0
0.130137,5.870045,0.525474,0.620538,0.07874,0.260526,2.669106,0.262302,0.633374,0.206633,0.370201,0.044196,0.239606,72,0
0.034045,3.208973,0.592396,0.103761,0.063511,0.691582,0.667216,0.487533,0.860573,0.139362,0.75571,0.044489,-0.758297,25,0
0.040932,1.253188,0.165612,0.127061,0.120958,3.510816,0.829906,0.141239,0.819716,0.200003,0.795344,0.03974,-0.0797,46,0
0.023555,1.18691,0.095349,0.01831,0.033046,0.694762,1.088825,0.213901,0.60548,0.085352,0.724032,0.211117,-0.213219,25,0
0.000968,1.26168,0.08414,-0.087179,0.036805,0.371341,0.378133,0.620963,0.405677,0.016842,0.9425,0.000135,-0.12179,26,0
0.003331,1.004974,0.004089,0.01368,0.037247,1.098518,0.556019,0.113261,0.82612,0.051478,0.935293,0.005625,-0.195259,25,0
0.00705,2.302745,0.427127,0.137518,0.029144,0.228961,1.224926,0.410219,0.754993,0.026918,0.738086,0.031741,-0.030102,72,0
0.00729,1.846784,0.218086,0.065458,0.017961,0.47116,0.99425,0.555331,0.475633,0.038957,0.812878,0.02876,-0.180602,62,0
0.02645,1.143625,0.040285,0.307686,0.051399,0.895664,0.863443,0.366101,0.320775,0.074843,0.646591,0.008958,0.059688,22,0
0.007134,0.813248,-0.174984,0.015302,0.039346,0.7669,0.676293,0.044762,0.762004,0.39089,0.98175,0.024318,-0.339144,29,0
0.19965,0.703823,-0.176663,0.120028,0.270254,3.420656,0.596363,0.037773,0.419813,0.545863,0.634248,0.000951,0.639258,62,0
0.068599,4.704216,0.414892,0.403208,-0.059996,0.176332,4.642267,0.166896,0.526897,0.095131,0.278901,0.056209,-1.203731,72,0
0.052528,1.611517,0.32959,0.110477,0.072426,2.242186,0.985598,0.338396,0.868562,0.428326,0.877368,0.409342,-0.381315,23,0
0.043406,0.864638,-0.112267,0.035969,0.096694,4.319038,0.530995,0.118571,0.717113,0.833932,0.947951,0.101684,0.477156,71,0
-0.134895,0.92291,-0.043639,-0.149455,-0.12408,1.208509,0.623302,0.17181,0.522435,-0.514639,0.737884,0.05383,-0.070741,45,1
-1.251691,1.214208,0.129301,-1.479493,-1.221359,0.781978,0.281344,0.367385,0.732923,-43.172721,0.971007,0.01172,-1.157849,47,1
0.000341,1.304912,0.203208,-0.004027,0.045945,0.574091,0.344243,0.097164,0.869655,0.00144,0.763611,0.079168,-0.000891,13,1
0.142955,1.655172,0.355221,0.416781,0.212266,1.292294,1.652649,0.273799,0.897401,0.312251,0.54218,0.046968,-0.11112,58,1
0.404381,1.132276,0.035366,-0.808183,0.420146,0.249042,0.770642,1.216382,0.30273,-0.835936,1.483747,0.004374,0.336432,20,1
0.033207,1.09196,0.053214,0.200022,0.088861,1.151905,1.001983,0.217914,0.631872,0.163238,0.796573,0.120776,-0.150996,10,1
-0.193203,0.642859,-0.128234,-0.371044,-0.224663,0.044026,0.341453,0.264532,0.230823,-0.513277,0.623588,0.00001,-0.001322,20,1
-0.213715,1.785263,0.158259,-0.881983,-0.240895,0.042906,1.766959,0.801752,0.359795,64.988199,1.003288,0.158555,-0.280325,61,1
-0.792254,0.808577,-0.153703,0.000785,-0.538643,1.516726,0.665695,0.193942,0.649248,-255.044841,0.996894,0.172853,-0.024009,62,1
-0.390817,0.541341,-0.447397,-0.570841,-0.502816,0.617344,0.446485,0.125388,0.528049,3.875801,1.100835,0.094021,0.346538,14,1
0.037757,1.071686,0.061671,0.093846,0.059103,0.917415,1.065316,0.036978,0.921966,0.367544,0.897273,0.025471,-0.461851,25,1
0.096012,1.861571,0.438948,0.410349,0.145875,2.261809,1.667471,0.0009,0.948422,0.196092,0.510373,0.044918,-0.108253,28,0
0.010138,1.10498,0.047097,0.126017,0.048019,0.787717,0.453876,0.325433,0.495726,0.04487,0.774063,0.003746,0.095395,22,0
0.062423,1.094437,0.045235,0.194745,0.119828,1.223282,0.91333,0.314605,0.524226,0.30243,0.793596,0.128435,0.154894,43,0
0.112288,2.572375,0.510704,0.445536,0.153545,0.894885,1.666606,0.150456,0.835502,0.213985,0.475254,0.049342,1.591103,26,0
0.021158,0.689285,-0.181107,0.306788,0.050071,0.81306,0.218482,0.0841,0.401766,0.063532,0.666973,0.000739,0.133639,10,0
0.0181,0.979677,-0.012673,0.144084,0.054702,0.928008,0.522632,0.182406,0.610896,0.093286,0.805975,0.000349,0.059847,28,0
